Sail.EulerAngleRate1      Sail.EulerAngleRate2      Sail.EulerAngleRate3      
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
